patient_id,member_id,source_a_name,source_b_name,source_a_email,source_b_email,source_a_phone,source_b_phone,source_a_dob,source_b_dob,name_score,address_score,email_match,phone_match,dob_match,match_score,match_status
HOS-A-00001,CRM-B-00001,Tatiana Moreira,Tatiana Moreira,tatiana.moreira.1@examplehealth.org,,27990000001,27990000001,1954-02-02,1954-02-02,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00001-LEGACY,CRM-B-00001,Tatiana Moreira,Tatiana Moreira,tatiana.moreira.1@examplehealth.org,,27990000001,27990000001,1954-02-02,1954-02-02,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00006,CRM-B-00006,Luciana Santos,Luciana Santos,luciana.santos.6@examplehealth.org,,27990000006,27990000006,1940-07-07,1940-07-07,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00006-LEGACY,CRM-B-00006,Luciana Santos,Luciana Santos,luciana.santos.6@examplehealth.org,,27990000006,27990000006,1940-07-07,1940-07-07,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00011,CRM-B-00011,Monica Santos,Monica Santos,monica.santos.11@examplehealth.org,,27990000011,27990000011,1986-12-12,1986-12-12,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00011-LEGACY,CRM-B-00011,Monica Santos,Monica Santos,monica.santos.11@examplehealth.org,,27990000011,27990000011,1986-12-12,1986-12-12,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00027,CRM-B-00027,Tatiana Costa,Tatiana Costa,tatiana.costa.27@examplehealth.org,,27990000027,27990000027,1971-04-01,1971-04-01,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00041,CRM-B-00041,Larissa Rocha,Larissa Rocha,larissa.rocha.41@examplehealth.org,,27990000041,27990000041,1945-06-15,1945-06-15,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00042,CRM-B-00042,Leticia Moreira,Leticia Moreir,leticia.moreira.42@examplehealth.org,,27990000042,27990000042,1966-07-16,1966-07-16,0.966,1.0,0.0,1.0,1.0,0.79,review
HOS-A-00045,CRM-B-00045,Priscila Pereira,Priscila Pereira,priscila.pereira.45@examplehealth.org,,27990000045,27990000045,1985-10-19,1985-10-19,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00047,CRM-B-00047,Luciana Gomes,Luciana Gome,luciana.gomes.47@examplehealth.org,,27990000047,27990000047,1977-12-21,1977-12-21,0.96,0.966,0.0,1.0,1.0,0.783,review
HOS-A-00054,CRM-B-00054,Aline Barbosa,Aline Barbos,aline.barbosa.54@examplehealth.org,,27990000054,27990000054,2010-07-01,2010-07-01,0.96,1.0,0.0,1.0,1.0,0.788,review
HOS-A-00062,CRM-B-00062,Bianca Barbosa,Bianca Barbosa,bianca.barbosa.62@examplehealth.org,,27990000062,27990000062,2013-03-09,2013-03-09,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00067,CRM-B-00067,Leticia Costa,Leticia Costa,leticia.costa.67@examplehealth.org,,27990000067,27990000067,2016-08-14,2016-08-14,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00074,CRM-B-00074,Gabriela Almeida Gomes,Gabriela Almeida Gomes,gabriela.almeida.74@examplehealth.org,,27990000074,27990000074,1952-03-21,1952-03-21,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00081,CRM-B-00081,Bianca Carvalho,Bianca Carvalho,bianca.carvalho.81@examplehealth.org,,27990000081,27990000081,1967-10-01,1967-10-01,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00107,CRM-B-00107,Juliana Nascimento,Juliana Nascimento,juliana.nascimento.107@examplehealth.org,,27990000107,27990000107,1990-12-27,1990-12-27,1.0,1.0,0.0,1.0,1.0,0.8,review
