patient_id,member_id,source_a_name,source_b_name,source_a_email,source_b_email,source_a_phone,source_b_phone,source_a_dob,source_b_dob,name_score,address_score,email_match,phone_match,dob_match,match_score,match_status
HOS-A-00001,CRM-B-00001,Tatiana Moreira,Tatiana Moreira,tatiana.moreira.1@examplehealth.org,,27990000001,27990000001,1954-02-02,1954-02-02,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00001-LEGACY,CRM-B-00001,Tatiana Moreira,Tatiana Moreira,tatiana.moreira.1@examplehealth.org,,27990000001,27990000001,1954-02-02,1954-02-02,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00002,CRM-B-00002,Joao Carvalho,Joao Carvalho,joao.carvalho.2@examplehealth.org,joao.carvalho.2@examplehealth.org,27990000002,27990000002,1960-03-03,1960-03-03,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00002-LEGACY,CRM-B-00002,Joao Carvalho,Joao Carvalho,joao.carvalho.2@examplehealth.org,joao.carvalho.2@examplehealth.org,27990000002,27990000002,1960-03-03,1960-03-03,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00003,CRM-B-00003,Juliana Moreira,Juliana Moreira,juliana.moreira.3@examplehealth.org,juliana.moreira.3@examplehealth.org,27990000003,27990000003,1954-04-04,1954-04-04,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00003-LEGACY,CRM-B-00003,Juliana Moreira,Juliana Moreira,juliana.moreira.3@examplehealth.org,juliana.moreira.3@examplehealth.org,27990000003,27990000003,1954-04-04,1954-04-04,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00004,CRM-B-00004,Daniela Nascimento,Daniela Nascimento,daniela.nascimento.4@examplehealth.org,daniela.nascimento.4@examplehealth.org,27990000004,27990000004,2008-05-05,2008-05-05,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00004-LEGACY,CRM-B-00004,Daniela Nascimento,Daniela Nascimento,daniela.nascimento.4@examplehealth.org,daniela.nascimento.4@examplehealth.org,27990000004,27990000004,2008-05-05,2008-05-05,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00005,CRM-B-00005,Daniela Pereira,Daniela Pereira,daniela.pereira.5@examplehealth.org,daniela.pereira.5@examplehealth.org,27990000005,27990000005,1960-06-06,1960-06-06,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00005-LEGACY,CRM-B-00005,Daniela Pereira,Daniela Pereira,daniela.pereira.5@examplehealth.org,daniela.pereira.5@examplehealth.org,27990000005,27990000005,1960-06-06,1960-06-06,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00006,CRM-B-00006,Luciana Santos,Luciana Santos,luciana.santos.6@examplehealth.org,,27990000006,27990000006,1940-07-07,1940-07-07,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00006-LEGACY,CRM-B-00006,Luciana Santos,Luciana Santos,luciana.santos.6@examplehealth.org,,27990000006,27990000006,1940-07-07,1940-07-07,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00007,CRM-B-00007,Leticia Costa Almeida,Leticia Costa Almeida,leticia.costa.7@examplehealth.org,leticia.costa.7@examplehealth.org,27990000007,27990000007,1993-08-08,1993-08-08,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00007-LEGACY,CRM-B-00007,Leticia Costa Almeida,Leticia Costa Almeida,leticia.costa.7@examplehealth.org,leticia.costa.7@examplehealth.org,27990000007,27990000007,1993-08-08,1993-08-08,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00008,CRM-B-X00008,Tatiana Santos,Tatiana Santos,tatiana.santos.8@examplehealth.org,tatiana.santos.8@examplehealth.org,27990000008,27990000008,1977-09-09,1977-09-09,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
